tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
Selite puuttuu ( )	Selite puuttuu ( )	Selite puuttuu ( )	Selite puuttuu ( )	0	            	            	            	            
Operatiivisen hoidon tr	Ensiavun tulosyksikkö	Selite puuttuu ( )	Selite puuttuu ( )	0	OP-HTR      	OP-EAP      	            	            
Selite puuttuu ( )	Selite puuttuu ( )	(2 )	Selite puuttuu ( )	0	            	            	2           	            
Operatiivisen hoidon tr		(PÄI )	Selite puuttuu ( )	0	OP-HTR      	OP-PÄI      	PÄI         	            
Turun sosiaali- & terveystoimi	Selite puuttuu ( )	Selite puuttuu ( )	Selite puuttuu ( )	0	TKU         	            	            	            
Paraisten tk	Paraisten tk	Selite puuttuu ( )	Selite puuttuu ( )	0	PARTK       	PARTK       	            	            
Muut	Yksityinen	Selite puuttuu ( )	Selite puuttuu ( )	0	MUUT        	YKSIT       	            	            
Ensiavun ja päivystyksen ll	Ensiavun ja päivystyksen ll	(PÄI )	Selite puuttuu ( )	0	EPLL        	EPLL        	PÄI         	            
Sairaala/ulkopuolinen	Selite puuttuu ( )	Selite puuttuu ( )	Selite puuttuu ( )	0	SAIRUL      	            	            	            
Alueellinen erikoissairaanh.	Salon aluesairaala	Selite puuttuu ( )	Selite puuttuu ( )	0	AL-ESH	AL-SAS	 	 
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIL/2-silmälääkärin vo, TMS	ÅSIL/2-silmälääkärin vo, TMS	1	TMSova      	TMS         	+/SIL2      	+/SIL2      
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	ÅCS-Ålands centralsjukhus	0	SAIRUL      	SAIRUL      	SAIRUL      	+CS         
Muut	Sairaala	ÅCS-Ålands centralsjukhus	ÅCS-Ålands centralsjukhus	0	MUUT        	SAIR        	+CS         	+CS         
Muut	Sairaala	Ålands centralsjukhus	Ålands centralsjukhus	0	MUUT        	SAIR        	+CSH        	+CSH        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/GYN-dagavdelning/gyn.	ÅDAG/GYN-dagavdelning/gyn.	1	TMSova      	TMS         	+D/GYN      	+D/GYN      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/naistentaudit	ÅDAG/GYN-dagavdelning/gyn.	1	TMS         	TMS         	TMSNAI      	+D/GYN      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/KIR-dagavdelning/kir. TMS	ÅDAG/KIR-dagavdelning/kir. TMS	1	TMSova      	TMS         	+D/KIR      	+D/KIR      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅDAG/KIR-dagavdelning/kir. TMS	1	TMS         	TMS         	TMSKIR      	+D/KIR      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/KOR-dagavdelning, TMS	ÅDAG/KOR-dagavdelning, TMS	1	TMSova      	TMS         	+D/KOR      	+D/KOR      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/korva-, nenä- ja kurkkut.	ÅDAG/KOR-dagavdelning, TMS	1	TMS         	TMS         	TMSKOR      	+D/KOR      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/LAS-dagavdelning/lastent.	ÅDAG/LAS-dagavdelning/lastent.	1	TMSova      	TMS         	+D/LAS      	+D/LAS      
